name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Subway,Yes,No,4.7/5,1043,Richmond Town,,"Biryani, North Indian",150,Dine-out,JP Nagar
House Srinidhi,No,No,3.6/5,5370,Rajajinagar,Casual Dining,"Italian, Pizza",350,Drinks & nightlife,Indiranagar
Truffles,Yes,No,4.4/5,275,Banashankari  ,Cafe,"South Indian, North Indian","1,200",Buffet,JP Nagar
Dhaba Faasos,Yes,Yes,2.7/5,2507,RT Nagar,Sweet Shop,"Sandwich, Fast Food",800,Delivery,Electronic City
KFC,Yes,Yes,3.4/5,7705,Whitefield,Quick Bites,"Bakery, Cafe",800,Lunch,HSR Layout
Cafe MTR,Yes,Yes,3.0/5,362,Koramangala,"Pub, Bar","Sandwich, Fast Food",2000,Drinks & nightlife,Whitefield
Kitchen Vidyarthi Bhavan,Yes,Yes,3.0/5,4145,Banashankari,Cafe,"Mughlai, North Indian",250,Delivery,Jayanagar
Kitchen New Taj Mahal Cafe,Yes,Yes,3.8/5,1082,Frazer Town  ,"Pub, Bar",North Indian,"2,500",Drinks & nightlife,JP Nagar
Toit Brewpub,Yes,Yes,3.1/5,5413,Church Street,Delivery,"South Indian, Chinese",600,Desserts,HSR Layout
Dhaba Tasty Bites,Yes,Yes,2.6/5,1690,Electronic City,Bakery,"Biryani, North Indian",,Desserts,Koramangala
Chinese Hut,Yes,No,2.7/5,7000,HSR Layout,Delivery,"South Indian, North Indian",1000,Drinks & nightlife,Indiranagar
Shivaji Military Hotel,Yes,Yes,3.5/5,3726,Vijayanagar  ,Casual Dining,"Bakery, Cafe",800,Delivery,HSR Layout
Subway,No,No,4.6/5,2625,Electronic City,Delivery,Biryani,500,Delivery,Marathahalli
Kitchen India Gate,Yes,Yes,2.5/5,5767,Bellandur,Casual Dining,"Continental, North Indian",500,Lunch,BTM Layout
The Burger Lab,No,No,4.8/5,1766,Banashankari,Fine Dining,South Indian,"2,000",Dine-out,JP Nagar
Hotel Hotel Pai Vista,No,No,4.1/5,4904,Bellandur,Quick Bites,"Biryani, North Indian",1200,Cafes,Koramangala
Hotel Punjab Grill,Yes,No,2.9/5,2553,Rajajinagar,Sweet Shop,North Indian,400,Drinks & nightlife,BTM Layout
Koshy's,No,Yes,3.7/5,4451,Yelahanka  ,"Pub, Bar","Italian, Pizza",400,Buffet,Banashankari
